planner,total,Barman BDI,Monroe Fully,Monroe Partially,PCP,Rover,Satellite,Transport,Ultralight Cockpit,Woodworking,colouring
config-agile-2,7.03533,0.81,0.57,0.44,0.82,1.00,1.00,0.52,0.93,0.63,0.30
complex-config-agile-2,7.01996,0.85,0.50,0.43,0.82,1.00,1.00,0.54,0.93,0.64,0.31
complex-config-agile-1,6.89761,0.75,0.49,0.34,0.82,1.00,1.00,0.63,0.93,0.62,0.31
complex-config-agile-3,6.89485,0.75,0.49,0.32,0.82,1.00,1.00,0.66,0.93,0.61,0.31
config-agile-1,6.81972,0.70,0.57,0.35,0.82,0.99,1.00,0.54,0.93,0.61,0.30
config-agile-3,6.64191,0.51,0.57,0.33,0.82,1.00,1.00,0.57,0.93,0.60,0.30
config-1,6.44606,0.70,0.51,0.60,0.00,0.97,1.00,0.78,0.97,0.91,0.00
config-2,6.24541,0.75,0.43,0.48,0.00,0.99,1.00,0.88,0.98,0.74,0.00
config-3,5.20113,0.74,0.38,0.40,0.00,0.58,1.00,0.64,0.85,0.60,0.00
lamda-po-agl-gas-ao,5.01524,0.08,0.50,0.36,0.82,0.36,0.99,0.34,0.92,0.36,0.29
ppro-po-agl-gas-ff,5.00565,0.10,0.53,0.36,0.82,0.32,1.00,0.30,0.91,0.36,0.30
lamda-po-agl-gas-lmc,4.95080,0.08,0.50,0.34,0.82,0.38,1.00,0.26,0.90,0.39,0.29
aries-agile,3.22657,0.05,0.21,0.26,0.38,0.44,1.00,0.20,0.58,0.00,0.12
SIADEX,3.03256,0.92,0.24,0.05,0.00,0.70,1.00,0.03,0.00,0.10,0.00
