planner,total,Barman,Monroe,Monroe,PCP ;17,Rover ;20,Satellite ;25,Transport ;40,Ultralight,Woodworking ;30,colouring ;30
complex-config-agile-2,222,18,24,21,14,20,25,24,29,26,21
config-agile-2,218,18,24,21,14,20,25,23,29,24,20
complex-config-agile-3,217,16,24,17,14,20,25,28,29,23,21
complex-config-agile-1,217,16,24,18,14,20,25,27,29,23,21
config-agile-1,210,16,24,17,14,20,25,23,29,22,20
config-agile-3,207,12,24,17,14,20,25,24,29,22,20
complex-config-sat-1,197,14,24,18,14,19,25,12,29,21,21
config-2,196,18,18,21,0,20,25,39,29,26,0
config-sat-1,194,13,24,17,14,19,25,12,29,21,20
config-1,193,17,18,21,0,20,25,34,29,29,0
complex-config-sat-2,189,15,24,16,14,18,25,8,29,19,21
config-3,182,18,18,21,0,19,25,31,29,21,0
config-sat-2,176,11,21,14,14,18,25,7,29,17,20
complex-config-sat-3,176,10,23,15,14,16,25,9,29,15,20
config-sat-3,172,10,21,13,14,16,25,9,29,15,20
lamda-po-agl-gas-ao,171,3,23,19,14,10,25,15,29,13,20
ppro-po-sat-gas-ff,167,4,24,18,14,7,25,14,29,12,20
ppro-po-agl-gas-ff,167,4,24,18,14,7,25,14,29,12,20
lamda-po-agl-gas-lmc,166,3,24,17,14,9,25,13,29,12,20
ppro-xo-opt-as-lmc,133,2,18,15,14,6,24,4,29,13,8
aries-agile,119,2,11,13,12,15,25,13,19,0,9
aries-sat,118,3,11,13,10,16,25,13,19,0,8
ppro-xo-opt-as-dof-lmc,100,1,0,0,14,6,24,12,25,13,5
ppro-xo-opt-as-dof-ao,96,1,0,0,14,5,24,12,25,10,5
SIADEX,73,20,8,2,0,14,25,1,0,3,0
aries-opt,53,1,0,0,0,8,25,0,19,0,0
